date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:39	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Mar%202024%2008:10:33%20GMT	https://rasowaterproofing.in/robots.txt		(from )
13:40:40	106690/106690	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2008:10:33%20GMT	https://rasowaterproofing.in/	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/index.html	(from )
13:40:40	21395/21395	---M--	200	added ('OK')	image/jpeg	etag:%22f6323c-5393-5f547d86c1b80%22	https://rasowaterproofing.in/assets/images/raaso-logo.jpg	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/images/raaso-logo.jpg	(from https://rasowaterproofing.in/)
13:40:40	87493/87493	---M-Z	200	added ('OK')	text/css	etag:%22f826ab-155c5-5d55f4896b900-gzip%22	https://rasowaterproofing.in/assets/vendors/animate/animate.min.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/animate/animate.min.css	(from https://rasowaterproofing.in/)
13:40:40	28624/28624	---M-Z	200	added ('OK')	text/css	etag:%22f826ac-6fd0-5e8a361d1b580-gzip%22	https://rasowaterproofing.in/assets/vendors/animate/custom-animate.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/animate/custom-animate.css	(from https://rasowaterproofing.in/)
13:40:41	154909/154909	---M-Z	200	added ('OK')	text/css	etag:%22f826b2-25d1d-5d55f48b53d80-gzip%22	https://rasowaterproofing.in/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://rasowaterproofing.in/)
13:40:41	3889/3889	---M-Z	200	added ('OK')	text/css	etag:%22f826b6-f31-5d55f48d3c200-gzip%22	https://rasowaterproofing.in/assets/vendors/bxslider/jquery.bxslider.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/bxslider/jquery.bxslider.css	(from https://rasowaterproofing.in/)
13:40:41	59360/59360	---M-Z	200	added ('OK')	text/css	etag:%22f827d9-e7e0-5d55f48d3c200-gzip%22	https://rasowaterproofing.in/assets/vendors/fontawesome/css/all.min.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/fontawesome/css/all.min.css	(from https://rasowaterproofing.in/)
13:40:41	7501/7501	---M-Z	200	added ('OK')	text/css	etag:%22f830a2-1d4d-5e0c0f21eca00-gzip%22	https://rasowaterproofing.in/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://rasowaterproofing.in/)
13:40:41	33549/33549	---M-Z	200	added ('OK')	text/css	etag:%22f830d9-830d-5d55f496c5880-gzip%22	https://rasowaterproofing.in/assets/vendors/jquery-ui/jquery-ui.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/jquery-ui/jquery-ui.css	(from https://rasowaterproofing.in/)
13:40:42	3729/3729	---M-Z	200	added ('OK')	text/css	etag:%22f830fd-e91-5e0dbf47f5b00-gzip%22	https://rasowaterproofing.in/assets/vendors/nice-select/nice-select.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/nice-select/nice-select.css	(from https://rasowaterproofing.in/)
13:40:42	3116/3116	---M-Z	200	added ('OK')	text/css	etag:%22f830ff-c2c-5d55f496c5880-gzip%22	https://rasowaterproofing.in/assets/vendors/odometer/odometer.min.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/odometer/odometer.min.css	(from https://rasowaterproofing.in/)
13:40:42	3352/3352	---M-Z	200	added ('OK')	text/css	etag:%22f83102-d18-5d55f498add00-gzip%22	https://rasowaterproofing.in/assets/vendors/owl-carousel/owl.carousel.min.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/owl-carousel/owl.carousel.min.css	(from https://rasowaterproofing.in/)
13:40:42	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%22f83104-3f5-5d55f498add00-gzip%22	https://rasowaterproofing.in/assets/vendors/owl-carousel/owl.theme.default.min.css	C:/My%20Web%20Sites/waterprooffing%20website%202/rasowaterproofing.in/assets/vendors/owl-carousel/owl.theme.default.min.css	(from https://rasowaterproofing.in/)
